,,,,,,,,,,,,
,Date,Semaine,,,,,,,,,,
,,,42-46gr,47-56gr,57-60gr,61-63,64-66gr,67-69gr,70-74gr,75 et +,Casser,Total
,,,,,,,,,,,,
,samedi 1 août 2026,1,3,471,1234,1196,1037,579,342,88,42,4992
,dimanche 2 août 2026,,6,374,1158,1200,1044,672,429,104,48,5035
,lundi 3 août 2026,,1,272,1008,1139,1102,809,493,139,40,5003
,mardi 4 août 2026,,4,317,1012,1213,1130,728,471,115,39,5029
,mercredi 5 août 2026,,0,340,1087,1221,1077,695,430,91,61,5002
,jeudi 6 août 2026,,0,339,1013,1241,1100,686,441,122,52,4994
,vendredi 7 août 2026,2,0,0,0,0,0,0,0,0,0,0
,samedi 8 août 2026,,0,0,0,0,0,0,0,0,0,0
,dimanche 9 août 2026,,0,0,0,0,0,0,0,0,0,0
,lundi 10 août 2026,,0,0,0,0,0,0,0,0,0,0
,mardi 11 août 2026,,0,0,0,0,0,0,0,0,0,0
,mercredi 12 août 2026,,0,0,0,0,0,0,0,0,0,0
,jeudi 13 août 2026,3,0,0,0,0,0,0,0,0,0,0
,vendredi 14 août 2026,,0,0,0,0,0,0,0,0,0,0
,samedi 15 août 2026,,0,0,0,0,0,0,0,0,0,0
,dimanche 16 août 2026,,0,0,0,0,0,0,0,0,0,0
,lundi 17 août 2026,,0,0,0,0,0,0,0,0,0,0
,mardi 18 août 2026,,0,0,0,0,0,0,0,0,0,0
,mercredi 19 août 2026,4,0,0,0,0,0,0,0,0,0,0
,jeudi 20 août 2026,,0,0,0,0,0,0,0,0,0,0
,vendredi 21 août 2026,,0,0,0,0,0,0,0,0,0,0
,samedi 22 août 2026,,0,0,0,0,0,0,0,0,0,0
,dimanche 23 août 2026,,0,0,0,0,0,0,0,0,0,0
,lundi 24 août 2026,,0,0,0,0,0,0,0,0,0,0
,mardi 25 août 2026,5,0,0,0,0,0,0,0,0,0,0
,mercredi 26 août 2026,,0,0,0,0,0,0,0,0,0,0
,jeudi 27 août 2026,,0,0,0,0,0,0,0,0,0,0
,vendredi 28 août 2026,,0,0,0,0,0,0,0,0,0,0
,samedi 29 août 2026,,0,0,0,0,0,0,0,0,0,0
,dimanche 30 août 2026,,0,0,0,0,0,0,0,0,0,0
,lundi 31 août 2026,,0,0,0,0,0,0,0,0,0,0
,Total d'oeufs,,14,2113,6512,7210,6490,4169,2606,659,282,30055
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,7,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,8,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,9,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,10,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,11,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,12,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,13,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,14,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,15,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,16,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,17,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,18,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,19,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,20,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,21,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,22,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
