 ,,,,
,,,,
,,,,
,,,,
ID Client : ,Tama Ferme ,,,
Adresse : ,PK11 Ambodivolo Antetezambaro,,Contact : ,034 16 300 25
,,,,
MEF,Cheptel,Lot,PM,Shop
19-févr.,2500,,,Shop Alexia
,,,,
Age,Vaccination ,Date prévue,Réalisation ,Technicien LFL
2 semaines,Lasota,4-mars,5-mars,Benja et Toky
3 semaines,IBH120,11-mars,13-mars,Benja et Toky
4 semaines ,POX,22-mars,22-mars,Benja et Toky
5 semaines,IB-ND,29-mars,29-mars,Benja et Toky
7 semaines,Fowl Cholera,5-avr.,5-avr.,Benja et Toky
11 semaines ,Fowl Cholera,3-mai,3-mai,Benja et Toky
17 semaines ,IB-ND-EDS,14-juin,17-juin,Benja et Toky
,,,,
Débecquage ,,,27-févr.,
Anticoccidiens ,,,16-mars,3 jours
Anticoccidiens ,,,8-avr.,3 jours
Vermifuge,,,16-avr.,1 jour
Anticoccidiens ,,,8-mai,3 jours
Vermifuge,,,17-mai,1 jour
Vermifuge,,,28-juin,1 jour
,,,,
Techniciens LFL : ,,Toky : 038 23 901 45,,
,,Benja : 038 06 936 16 ,,
