,,,,,,,,,,,,,,,
Date,Semaine,Jour,1 ère Vague,,,,2 ème Vague,,,,Total,,,,Taux de M/S
,,,Effectif ,Morts,Cumul,Cum %,Effectif ,Morts,Cumul,Cum %,Effectif ,Morts,Cumul,Cum %,
lundi 1 juin 2026,1,1,2835,0,0,"0,00%",2701,1,1,"0,03%",5536,1,1,"0,03%",
mardi 2 juin 2026,,2,2835,0,0,"0,00%",2700,0,1,"0,04%",5535,0,1,"0,04%",
mercredi 3 juin 2026,,3,2835,3,3,"0,11%",2700,0,1,"0,04%",5535,3,4,"0,14%",
jeudi 4 juin 2026,,4,2832,1,4,"0,14%",2700,0,1,"0,04%",5532,1,5,"0,18%",
vendredi 5 juin 2026,,5,2831,2,6,"0,21%",2700,0,1,"0,04%",5531,2,7,"0,25%",
samedi 6 juin 2026,,6,2829,0,6,"0,21%",2700,0,1,"0,04%",5529,0,7,"0,25%",
dimanche 7 juin 2026,,7,2829,1,7,"0,25%",2700,1,2,"0,07%",5529,2,9,"0,32%",9
lundi 8 juin 2026,2,8,2828,1,8,"0,28%",2699,1,3,"0,11%",5527,2,11,"0,39%",
mardi 9 juin 2026,,9,2827,1,9,"0,32%",2698,1,4,"0,15%",5525,2,13,"0,47%",
mercredi 10 juin 2026,,10,2826,0,9,"0,32%",2697,1,5,"0,19%",5523,1,14,"0,50%",
jeudi 11 juin 2026,,11,2826,1,10,"0,35%",2696,2,7,"0,26%",5522,3,17,"0,61%",
vendredi 12 juin 2026,,12,2825,1,11,"0,39%",2694,0,7,"0,26%",5519,1,18,"0,65%",
samedi 13 juin 2026,,13,2824,1,12,"0,42%",2694,0,7,"0,26%",5518,1,19,"0,68%",
dimanche 14 juin 2026,,14,2823,1,13,"0,46%",2694,0,7,"0,26%",5517,1,20,"0,72%",11
lundi 15 juin 2026,3,15,2822,0,13,"0,46%",2694,3,10,"0,37%",5516,3,23,"0,83%",
mardi 16 juin 2026,,16,2822,1,14,"0,50%",2691,0,10,"0,37%",5513,1,24,"0,87%",
mercredi 17 juin 2026,,17,2821,1,15,"0,53%",2691,0,10,"0,37%",5512,1,25,"0,90%",
jeudi 18 juin 2026,,18,2820,1,16,"0,57%",2691,0,10,"0,37%",5511,1,26,"0,94%",
vendredi 19 juin 2026,,19,2819,0,16,"0,57%",2691,0,10,"0,37%",5510,0,26,"0,94%",
samedi 20 juin 2026,,20,2819,0,16,"0,57%",2691,0,10,"0,37%",5510,0,26,"0,94%",
dimanche 21 juin 2026,,21,2819,1,17,"0,60%",2691,0,10,"0,37%",5510,1,27,"0,97%",7
lundi 22 juin 2026,4,22,2818,0,17,"0,60%",2691,2,12,"0,45%",5509,2,29,"1,05%",
mardi 23 juin 2026,,23,2818,0,17,"0,60%",2689,3,15,"0,56%",5507,3,32,"1,16%",
mercredi 24 juin 2026,,24,2818,0,17,"0,60%",2686,0,15,"0,56%",5504,0,32,"1,16%",
jeudi 25 juin 2026,,25,2818,1,18,"0,64%",2686,0,15,"0,56%",5504,1,33,"1,20%",
vendredi 26 juin 2026,,26,2817,2,20,"0,71%",2686,1,16,"0,60%",5503,3,36,"1,31%",
samedi 27 juin 2026,,27,2815,1,21,"0,75%",2685,0,16,"0,60%",5500,1,37,"1,34%",
dimanche 28 juin 2026,,28,2814,0,21,"0,75%",2685,0,16,"0,60%",5499,0,37,"1,34%",10
lundi 29 juin 2026,5,29,2814,0,21,"0,75%",2685,0,16,"0,60%",5499,0,37,"1,34%",
mardi 30 juin 2026,,30,2814,0,21,"0,75%",2685,2,18,"0,67%",5499,2,39,"1,42%",
mercredi 1 juillet 2026,,31,2814,0,21,"0,75%",2683,1,19,"0,71%",5497,1,40,"1,45%",
jeudi 2 juillet 2026,,32,2814,0,21,"0,75%",2682,1,20,"0,75%",5496,1,41,"1,49%",
vendredi 3 juillet 2026,,33,2814,0,21,"0,75%",2681,0,20,"0,75%",5495,0,41,"1,49%",
samedi 4 juillet 2026,,34,2814,0,21,"0,75%",2681,0,20,"0,75%",5495,0,41,"1,49%",
dimanche 5 juillet 2026,,35,2814,0,21,"0,75%",2681,0,20,"0,75%",5495,0,41,"1,49%",4
lundi 6 juillet 2026,6,36,2814,0,21,"0,75%",2681,0,20,"0,75%",5495,0,41,"1,49%",
mardi 7 juillet 2026,,37,2814,0,21,"0,75%",2681,0,20,"0,75%",5495,0,41,"1,49%",
mercredi 8 juillet 2026,,38,2814,1,22,"0,78%",2681,1,21,"0,78%",5495,2,43,"1,57%",
jeudi 9 juillet 2026,,39,2813,0,22,"0,78%",2680,0,21,"0,78%",5493,0,43,"1,57%",
vendredi 10 juillet 2026,,40,2813,0,22,"0,78%",2680,2,23,"0,86%",5493,2,45,"1,64%",
samedi 11 juillet 2026,,41,2813,1,23,"0,82%",2678,0,23,"0,86%",5491,1,46,"1,68%",
dimanche 12 juillet 2026,,42,2812,1,24,"0,85%",2678,0,23,"0,86%",5490,1,47,"1,71%",6
lundi 13 juillet 2026,7,43,2811,0,24,"0,85%",2678,0,23,"0,86%",5489,0,47,"1,71%",
mardi 14 juillet 2026,,44,2811,0,24,"0,85%",2678,2,25,"0,93%",5489,2,49,"1,79%",
mercredi 15 juillet 2026,,45,2811,0,24,"0,85%",2676,0,25,"0,93%",5487,0,49,"1,79%",
jeudi 16 juillet 2026,,46,2811,1,25,"0,89%",2676,0,25,"0,93%",5487,1,50,"1,82%",
vendredi 17 juillet 2026,,47,2810,1,26,"0,93%",2676,1,26,"0,97%",5486,2,52,"1,90%",
samedi 18 juillet 2026,,48,2809,0,26,"0,93%",2675,0,26,"0,97%",5484,0,52,"1,90%",
dimanche 19 juillet 2026,,49,2809,0,26,"0,93%",2675,2,28,"1,05%",5484,2,54,"1,97%",7
lundi 20 juillet 2026,8,50,2809,0,26,"0,93%",2673,0,28,"1,05%",5482,0,54,"1,97%",
mardi 21 juillet 2026,,51,2809,0,26,"0,93%",2673,0,28,"1,05%",5482,0,54,"1,97%",
mercredi 22 juillet 2026,,52,2809,1,27,"0,96%",2673,0,28,"1,05%",5482,1,55,"2,01%",
jeudi 23 juillet 2026,,53,2808,0,27,"0,96%",2673,0,28,"1,05%",5481,0,55,"2,01%",
vendredi 24 juillet 2026,,54,2808,1,28,"1,00%",2673,0,28,"1,05%",5481,1,56,"2,04%",
samedi 25 juillet 2026,,55,2807,1,29,"1,03%",2673,0,28,"1,05%",5480,1,57,"2,08%",
dimanche 26 juillet 2026,,56,2806,0,29,"1,03%",2673,1,29,"1,08%",5479,1,58,"2,12%",4
lundi 27 juillet 2026,9,57,2806,0,29,"1,03%",2672,2,31,"1,16%",5478,2,60,"2,19%",
mardi 28 juillet 2026,,58,2806,0,29,"1,03%",2670,0,31,"1,16%",5476,0,60,"2,19%",
mercredi 29 juillet 2026,,59,2806,0,29,"1,03%",2670,0,31,"1,16%",5476,0,60,"2,19%",
jeudi 30 juillet 2026,,60,2806,1,30,"1,07%",2670,0,31,"1,16%",5476,1,61,"2,23%",
vendredi 31 juillet 2026,,61,2805,2,32,"1,14%",2670,1,32,"1,20%",5475,3,64,"2,34%",
samedi 1 août 2026,,62,2803,1,33,"1,18%",2669,0,32,"1,20%",5472,1,65,"2,38%",
dimanche 2 août 2026,,63,2802,0,33,"1,18%",2669,1,33,"1,24%",5471,1,66,"2,41%",8
lundi 3 août 2026,10,64,2802,0,33,"1,18%",2668,0,33,"1,24%",5470,0,66,"2,41%",
mardi 4 août 2026,,65,2802,0,33,"1,18%",2668,1,34,"1,27%",5470,1,67,"2,45%",
mercredi 5 août 2026,,66,2802,1,34,"1,21%",2667,2,36,"1,35%",5469,3,70,"2,56%",
jeudi 6 août 2026,,67,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
vendredi 7 août 2026,,68,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
samedi 8 août 2026,,69,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
dimanche 9 août 2026,,70,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",4
lundi 10 août 2026,11,71,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
mardi 11 août 2026,,72,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
mercredi 12 août 2026,,73,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
jeudi 13 août 2026,,74,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
vendredi 14 août 2026,,75,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
samedi 15 août 2026,,76,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
dimanche 16 août 2026,,77,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",0
lundi 17 août 2026,12,78,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
mardi 18 août 2026,,79,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
mercredi 19 août 2026,,80,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
jeudi 20 août 2026,,81,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
vendredi 21 août 2026,,82,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
samedi 22 août 2026,,83,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
dimanche 23 août 2026,,84,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",0
lundi 24 août 2026,13,85,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
mardi 25 août 2026,,86,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
mercredi 26 août 2026,,87,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
jeudi 27 août 2026,,88,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
vendredi 28 août 2026,,89,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
samedi 29 août 2026,,90,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
dimanche 30 août 2026,,91,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",0
lundi 31 août 2026,14,92,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
mardi 1 septembre 2026,,93,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
mercredi 2 septembre 2026,,94,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
jeudi 3 septembre 2026,,95,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
vendredi 4 septembre 2026,,96,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
samedi 5 septembre 2026,,97,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
dimanche 6 septembre 2026,,98,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",0
lundi 7 septembre 2026,15,99,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
mardi 8 septembre 2026,,100,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
mercredi 9 septembre 2026,,101,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
jeudi 10 septembre 2026,,102,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
vendredi 11 septembre 2026,,103,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
samedi 12 septembre 2026,,104,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
dimanche 13 septembre 2026,,105,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",0
lundi 14 septembre 2026,16,106,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
mardi 15 septembre 2026,,107,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
mercredi 16 septembre 2026,,108,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
jeudi 17 septembre 2026,,109,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
vendredi 18 septembre 2026,,110,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
samedi 19 septembre 2026,,111,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
dimanche 20 septembre 2026,,112,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",0
lundi 21 septembre 2026,17,113,2801,0,34,"1,21%",2665,0,36,"1,35%",5466,0,70,"2,56%",
