Date,Semaine,Jour,Aliment,"Date d'arrivé
Sacs",Poids/sac,Poids/kilos,Kilos,Sacs,Reste/kg,Reste/sac,Prix Provende,Prix Total
samedi 1 août 2026,1,1,PN020F,,"3,34",167,550,11,383,"7,66",2 890Ar,482 630Ar
dimanche 2 août 2026,,2,PN020F,,"3,58",179,383,"7,66",204,"4,08",2 890Ar,517 310Ar
lundi 3 août 2026,,3,PN020F,40,"3,04",152,204,"4,08",52,"1,04",2 890Ar,439 280Ar
mardi 4 août 2026,,4,PN020F,,"3,18",159,2052,"41,04",1893,"37,86",2 890Ar,459 510Ar
mercredi 5 août 2026,,5,PN020F,,3,150,1893,"37,86",1743,"34,86",2 890Ar,433 500Ar
jeudi 6 août 2026,,6,PN020F,,,,,,0,0,2 890Ar,0Ar
vendredi 7 août 2026,,7,PN020F,,,,,,0,0,2 890Ar,0Ar
samedi 8 août 2026,2,8,PN020F,,,,,,0,0,2 890Ar,0Ar
dimanche 9 août 2026,,9,PN020F,,,,,,0,0,2 890Ar,0Ar
lundi 10 août 2026,,10,PN020F,,,,,,0,0,2 890Ar,0Ar
mardi 11 août 2026,,11,PN020F,,,,,,0,0,2 890Ar,0Ar
mercredi 12 août 2026,,12,PN020F,,,,,,0,0,2 890Ar,0Ar
jeudi 13 août 2026,,13,PN020F,,,,,,0,0,2 890Ar,0Ar
vendredi 14 août 2026,,14,PN020F,,,,,,0,0,2 890Ar,0Ar
samedi 15 août 2026,3,15,PN020F,,,,,,0,0,2 890Ar,0Ar
dimanche 16 août 2026,,16,PN020F,,,,,,0,0,2 890Ar,0Ar
lundi 17 août 2026,,17,PN020F,,,,,,0,0,2 890Ar,0Ar
mardi 18 août 2026,,18,PN020F,,,,,,0,0,2 890Ar,0Ar
mercredi 19 août 2026,,19,PN020F,,,,,,0,0,2 890Ar,0Ar
jeudi 20 août 2026,,20,PN020F,,,,,,0,0,2 890Ar,0Ar
vendredi 21 août 2026,,21,PN020F,,,,,,0,0,2 890Ar,0Ar
samedi 22 août 2026,4,22,PN020F,,,,,,0,0,2 890Ar,0Ar
dimanche 23 août 2026,,23,PN020F,,,,,,0,0,2 890Ar,0Ar
lundi 24 août 2026,,24,PN020F,,,,,,0,0,2 890Ar,0Ar
mardi 25 août 2026,,25,PN020F,,,,,,0,0,2 890Ar,0Ar
mercredi 26 août 2026,,26,PN020F,,,,,,0,0,2 890Ar,0Ar
jeudi 27 août 2026,,27,PN020F,,,,,,0,0,2 890Ar,0Ar
vendredi 28 août 2026,,28,Transition,,,,,,0,0,2 890Ar,0Ar
samedi 29 août 2026,5,29,Transition,,,,,,0,0,2 890Ar,0Ar
dimanche 30 août 2026,,30,Transition,,,,,,0,0,2 890Ar,0Ar
lundi 31 août 2026,,31,Transition,,,,,,0,0,2 890Ar,0Ar
,,32,,,,,,,,,,2 332 230Ar
,,33,,,,,,,,,,
,,34,,,,,,,,,,
,,35,,,,,,,,,,
,6,36,,,,,,,,,,
,,37,,,,,,,,,,
,,38,,,,,,,,,,
,,39,,,,,,,,,,
,,40,,,,,,,,,,
,,41,,,,,,,,,,
,,42,,,,,,,,,,
,7,43,,,,,,,,,,
