Date,Semaine,Jour,Cheptel,,,,Taux de M/S,
,,,Effectif ,Morts,Cumul,Cum %,,
mercredi 10 juin 2026,1,1,3287,5,5,"0,15%",,
jeudi 11 juin 2026,,2,3282,10,15,"0,46%",,
vendredi 12 juin 2026,,3,3272,2,17,"0,52%",,
samedi 13 juin 2026,,4,3270,4,21,"0,64%",,
dimanche 14 juin 2026,,5,3266,0,21,"0,64%",,
lundi 15 juin 2026,,6,3266,3,24,"0,73%",,
mardi 16 juin 2026,,7,3263,0,24,"0,74%",24,
mercredi 17 juin 2026,2,8,3263,4,28,"0,86%",,
jeudi 18 juin 2026,,9,3259,1,29,"0,89%",,
vendredi 19 juin 2026,,10,3258,1,30,"0,92%",,
samedi 20 juin 2026,,11,3257,0,30,"0,92%",,
dimanche 21 juin 2026,,12,3257,0,30,"0,92%",,
lundi 22 juin 2026,,13,3257,2,32,"0,98%",,
mardi 23 juin 2026,,14,3255,0,32,"0,98%",8,
mercredi 24 juin 2026,3,15,3255,1,33,"1,01%",,
jeudi 25 juin 2026,,16,3254,0,33,"1,01%",,
vendredi 26 juin 2026,,17,3254,0,33,"1,01%",,
samedi 27 juin 2026,,18,3254,0,33,"1,01%",,
dimanche 28 juin 2026,,19,3254,0,33,"1,01%",,
lundi 29 juin 2026,,20,3254,0,33,"1,01%",,
mardi 30 juin 2026,,21,3254,0,33,"1,01%",1,
mercredi 1 juillet 2026,4,22,3254,0,33,"1,01%",,
jeudi 2 juillet 2026,,23,3254,0,33,"1,01%",,
vendredi 3 juillet 2026,,24,3254,0,33,"1,01%",,
samedi 4 juillet 2026,,25,3254,0,33,"1,01%",,
dimanche 5 juillet 2026,,26,3254,3,36,"1,11%",,
lundi 6 juillet 2026,,27,3251,6,42,"1,29%",,
mardi 7 juillet 2026,,28,3245,69,111,"3,42%",78,
mercredi 8 juillet 2026,5,29,3176,96,207,"6,52%",,
jeudi 9 juillet 2026,,30,3080,35,242,"7,86%",,
vendredi 10 juillet 2026,,31,3045,9,251,"8,24%",,
samedi 11 juillet 2026,,32,3036,2,253,"8,33%",,
dimanche 12 juillet 2026,,33,3034,2,255,"8,40%",,
lundi 13 juillet 2026,,34,3032,2,257,"8,48%",,
mardi 14 juillet 2026,,35,3030,0,257,"8,48%",146,131
mercredi 15 juillet 2026,6,36,3030,1,258,"8,51%",,
jeudi 16 juillet 2026,,37,3029,0,258,"8,52%",,
vendredi 17 juillet 2026,,38,3029,0,258,"8,52%",,
samedi 18 juillet 2026,,39,3029,0,258,"8,52%",,
dimanche 19 juillet 2026,,40,3029,0,258,"8,52%",,
lundi 20 juillet 2026,,41,3029,0,258,"8,52%",,
mardi 21 juillet 2026,,42,3029,4,262,"8,65%",5,
mercredi 22 juillet 2026,7,43,3025,0,262,"8,66%",,
jeudi 23 juillet 2026,,44,3025,1,263,"8,69%",,
vendredi 24 juillet 2026,,45,3024,1,264,"8,73%",,
samedi 25 juillet 2026,,46,3023,0,264,"8,73%",,
dimanche 26 juillet 2026,,47,3023,0,264,"8,73%",,
lundi 27 juillet 2026,,48,3023,0,264,"8,73%",,
mardi 28 juillet 2026,,49,3023,3,267,"8,83%",5,
mercredi 29 juillet 2026,8,50,3020,0,267,"8,84%",,
jeudi 30 juillet 2026,,51,3020,0,267,"8,84%",,
vendredi 31 juillet 2026,,52,3020,3,270,"8,94%",,
samedi 1 août 2026,,53,3017,0,270,"8,95%",,
dimanche 2 août 2026,,54,3017,2,272,"9,02%",,
lundi 3 août 2026,,55,3015,3,275,"9,12%",,
mardi 4 août 2026,,56,3012,3,278,"9,23%",11,
mercredi 5 août 2026,9,57,3009,0,278,"9,24%",,
jeudi 6 août 2026,,58,3009,0,278,"9,24%",,
vendredi 7 août 2026,,59,3009,0,278,"9,24%",,
samedi 8 août 2026,,60,3009,0,278,"9,24%",,
dimanche 9 août 2026,,61,3009,0,278,"9,24%",,
lundi 10 août 2026,,62,3009,0,278,"9,24%",,
mardi 11 août 2026,,63,3009,0,278,"9,24%",0,
mercredi 12 août 2026,10,64,3009,0,278,"9,24%",,
jeudi 13 août 2026,,65,3009,0,278,"9,24%",,
vendredi 14 août 2026,,66,3009,0,278,"9,24%",,
samedi 15 août 2026,,67,3009,0,278,"9,24%",,
dimanche 16 août 2026,,68,3009,0,278,"9,24%",,
lundi 17 août 2026,,69,3009,0,278,"9,24%",,
mardi 18 août 2026,,70,3009,0,278,"9,24%",0,
mercredi 19 août 2026,11,71,3009,0,278,"9,24%",,
jeudi 20 août 2026,,72,3009,0,278,"9,24%",,
vendredi 21 août 2026,,73,3009,0,278,"9,24%",,
samedi 22 août 2026,,74,3009,0,278,"9,24%",,
dimanche 23 août 2026,,75,3009,0,278,"9,24%",,
lundi 24 août 2026,,76,3009,0,278,"9,24%",,
mardi 25 août 2026,,77,3009,0,278,"9,24%",0,
mercredi 26 août 2026,12,78,3009,0,278,"9,24%",,
jeudi 27 août 2026,,79,3009,0,278,"9,24%",,
vendredi 28 août 2026,,80,3009,0,278,"9,24%",,
samedi 29 août 2026,,81,3009,0,278,"9,24%",,
dimanche 30 août 2026,,82,3009,0,278,"9,24%",,
lundi 31 août 2026,,83,3009,0,278,"9,24%",,
mardi 1 septembre 2026,,84,3009,0,278,"9,24%",0,
mercredi 2 septembre 2026,13,85,3009,0,278,"9,24%",,
jeudi 3 septembre 2026,,86,3009,0,278,"9,24%",,
vendredi 4 septembre 2026,,87,3009,0,278,"9,24%",,
samedi 5 septembre 2026,,88,3009,0,278,"9,24%",,
dimanche 6 septembre 2026,,89,3009,0,278,"9,24%",,
lundi 7 septembre 2026,,90,3009,0,278,"9,24%",,
mardi 8 septembre 2026,,91,3009,0,278,"9,24%",0,
mercredi 9 septembre 2026,14,92,3009,0,278,"9,24%",,
jeudi 10 septembre 2026,,93,3009,0,278,"9,24%",,
vendredi 11 septembre 2026,,94,3009,0,278,"9,24%",,
samedi 12 septembre 2026,,95,3009,0,278,"9,24%",,
dimanche 13 septembre 2026,,96,3009,0,278,"9,24%",,
lundi 14 septembre 2026,,97,3009,0,278,"9,24%",,
mardi 15 septembre 2026,,98,3009,0,278,"9,24%",0,
mercredi 16 septembre 2026,15,99,3009,0,278,"9,24%",,
jeudi 17 septembre 2026,,100,3009,0,278,"9,24%",,
vendredi 18 septembre 2026,,101,3009,0,278,"9,24%",,
samedi 19 septembre 2026,,102,3009,0,278,"9,24%",,
dimanche 20 septembre 2026,,103,3009,0,278,"9,24%",,
lundi 21 septembre 2026,,104,3009,0,278,"9,24%",,
mardi 22 septembre 2026,,105,3009,0,278,"9,24%",0,
mercredi 23 septembre 2026,16,106,3009,0,278,"9,24%",,
jeudi 24 septembre 2026,,107,3009,0,278,"9,24%",,
vendredi 25 septembre 2026,,108,3009,0,278,"9,24%",,
samedi 26 septembre 2026,,109,3009,0,278,"9,24%",,
dimanche 27 septembre 2026,,110,3009,0,278,"9,24%",,
lundi 28 septembre 2026,,111,3009,0,278,"9,24%",,
mardi 29 septembre 2026,,112,3009,0,278,"9,24%",0,
mercredi 30 septembre 2026,17,113,3009,0,278,"9,24%",,
jeudi 1 octobre 2026,,114,3009,0,278,"9,24%",,
vendredi 2 octobre 2026,,115,3009,0,278,"9,24%",,
samedi 3 octobre 2026,,116,3009,0,278,"9,24%",,
dimanche 4 octobre 2026,,117,3009,0,278,"9,24%",,
lundi 5 octobre 2026,,118,3009,0,278,"9,24%",,
mardi 6 octobre 2026,,119,3009,0,278,"9,24%",0,
mercredi 7 octobre 2026,18,120,3009,0,278,"9,24%",,
jeudi 8 octobre 2026,,121,3009,0,278,"9,24%",,
vendredi 9 octobre 2026,,122,3009,0,278,"9,24%",,
samedi 10 octobre 2026,,123,3009,0,278,"9,24%",,
dimanche 11 octobre 2026,,124,3009,0,278,"9,24%",,
lundi 12 octobre 2026,,125,3009,0,278,"9,24%",,
mardi 13 octobre 2026,,126,3009,0,278,"9,24%",0,
mercredi 14 octobre 2026,19,127,3009,0,278,"9,24%",,
jeudi 15 octobre 2026,,128,3009,0,278,"9,24%",,
vendredi 16 octobre 2026,,129,3009,0,278,"9,24%",,
samedi 17 octobre 2026,,130,3009,0,278,"9,24%",,
dimanche 18 octobre 2026,,131,3009,0,278,"9,24%",,
lundi 19 octobre 2026,,132,3009,0,278,"9,24%",,
mardi 20 octobre 2026,,133,3009,0,278,"9,24%",0,
mercredi 21 octobre 2026,20,134,3009,0,278,"9,24%",,
jeudi 22 octobre 2026,,135,3009,0,278,"9,24%",,
vendredi 23 octobre 2026,,136,3009,0,278,"9,24%",,
samedi 24 octobre 2026,,137,3009,0,278,"9,24%",,
dimanche 25 octobre 2026,,138,3009,0,278,"9,24%",,
lundi 26 octobre 2026,,139,3009,0,278,"9,24%",,
mardi 27 octobre 2026,,140,3009,0,278,"9,24%",0,
mercredi 28 octobre 2026,21,141,3009,0,278,"9,24%",,
jeudi 29 octobre 2026,,142,3009,0,278,"9,24%",,
vendredi 30 octobre 2026,,143,3009,0,278,"9,24%",,
samedi 31 octobre 2026,,144,3009,0,278,"9,24%",,
dimanche 1 novembre 2026,,145,3009,0,278,"9,24%",,
lundi 2 novembre 2026,,146,3009,0,278,"9,24%",,
mardi 3 novembre 2026,,147,3009,0,278,"9,24%",0,
mercredi 4 novembre 2026,22,148,3009,0,278,"9,24%",,
jeudi 5 novembre 2026,,149,3009,0,278,"9,24%",,
vendredi 6 novembre 2026,,150,3009,0,278,"9,24%",,
samedi 7 novembre 2026,,151,3009,0,278,"9,24%",,
dimanche 8 novembre 2026,,152,3009,0,278,"9,24%",,
lundi 9 novembre 2026,,153,3009,0,278,"9,24%",,
mardi 10 novembre 2026,,154,3009,0,278,"9,24%",0,
mercredi 11 novembre 2026,23,155,3009,0,278,"9,24%",,
jeudi 12 novembre 2026,,156,3009,0,278,"9,24%",,
vendredi 13 novembre 2026,,157,3009,0,278,"9,24%",,
samedi 14 novembre 2026,,158,3009,0,278,"9,24%",,
dimanche 15 novembre 2026,,159,3009,0,278,"9,24%",,
lundi 16 novembre 2026,,160,3009,0,278,"9,24%",,
mardi 17 novembre 2026,,161,3009,0,278,"9,24%",0,
mercredi 18 novembre 2026,24,162,3009,0,278,"9,24%",,
jeudi 19 novembre 2026,,163,3009,0,278,"9,24%",,
vendredi 20 novembre 2026,,164,3009,0,278,"9,24%",,
samedi 21 novembre 2026,,165,3009,0,278,"9,24%",,
dimanche 22 novembre 2026,,166,3009,0,278,"9,24%",,
lundi 23 novembre 2026,,167,3009,0,278,"9,24%",,
mardi 24 novembre 2026,,168,3009,0,278,"9,24%",0,
mercredi 25 novembre 2026,25,169,3009,0,278,"9,24%",,
jeudi 26 novembre 2026,,170,3009,0,278,"9,24%",,
vendredi 27 novembre 2026,,171,3009,0,278,"9,24%",,
samedi 28 novembre 2026,,172,3009,0,278,"9,24%",,
dimanche 29 novembre 2026,,173,3009,0,278,"9,24%",,
lundi 30 novembre 2026,,174,3009,0,278,"9,24%",,
mardi 1 décembre 2026,,175,3009,0,278,"9,24%",0,
mercredi 2 décembre 2026,26,176,3009,0,278,"9,24%",,
jeudi 3 décembre 2026,,177,3009,0,278,"9,24%",,
vendredi 4 décembre 2026,,178,3009,0,278,"9,24%",,
samedi 5 décembre 2026,,179,3009,0,278,"9,24%",,
dimanche 6 décembre 2026,,180,3009,0,278,"9,24%",,
lundi 7 décembre 2026,,181,3009,0,278,"9,24%",,
mardi 8 décembre 2026,,182,3009,0,278,"9,24%",0,
mercredi 9 décembre 2026,27,183,3009,0,278,"9,24%",,
jeudi 10 décembre 2026,,184,3009,0,278,"9,24%",,
vendredi 11 décembre 2026,,185,3009,0,278,"9,24%",,
samedi 12 décembre 2026,,186,3009,0,278,"9,24%",,
dimanche 13 décembre 2026,,187,3009,0,278,"9,24%",,
lundi 14 décembre 2026,,188,3009,0,278,"9,24%",,
mardi 15 décembre 2026,,189,3009,0,278,"9,24%",0,
mercredi 16 décembre 2026,28,190,3009,0,278,"9,24%",,
jeudi 17 décembre 2026,,191,3009,0,278,"9,24%",,
vendredi 18 décembre 2026,,192,3009,0,278,"9,24%",,
samedi 19 décembre 2026,,193,3009,0,278,"9,24%",,
dimanche 20 décembre 2026,,194,3009,0,278,"9,24%",,
lundi 21 décembre 2026,,195,3009,0,278,"9,24%",,
mardi 22 décembre 2026,,196,3009,0,278,"9,24%",0,
mercredi 23 décembre 2026,29,197,3009,0,278,"9,24%",,
jeudi 24 décembre 2026,,198,3009,0,278,"9,24%",,
vendredi 25 décembre 2026,,199,3009,0,278,"9,24%",,
samedi 26 décembre 2026,,200,3009,0,278,"9,24%",,
dimanche 27 décembre 2026,,201,3009,0,278,"9,24%",,
lundi 28 décembre 2026,,202,3009,0,278,"9,24%",,
mardi 29 décembre 2026,,203,3009,0,278,"9,24%",0,
mercredi 30 décembre 2026,30,204,3009,0,278,"9,24%",,
jeudi 31 décembre 2026,,205,3009,0,278,"9,24%",,
vendredi 1 janvier 2027,,206,3009,0,278,"9,24%",,
samedi 2 janvier 2027,,207,3009,0,278,"9,24%",,
dimanche 3 janvier 2027,,208,3009,0,278,"9,24%",,
lundi 4 janvier 2027,,209,3009,0,278,"9,24%",,
mardi 5 janvier 2027,,210,3009,0,278,"9,24%",0,
mercredi 6 janvier 2027,31,211,3009,0,278,"9,24%",,
jeudi 7 janvier 2027,,212,3009,0,278,"9,24%",,
vendredi 8 janvier 2027,,213,3009,0,278,"9,24%",,
samedi 9 janvier 2027,,214,3009,0,278,"9,24%",,
dimanche 10 janvier 2027,,215,3009,0,278,"9,24%",,
lundi 11 janvier 2027,,216,3009,0,278,"9,24%",,
mardi 12 janvier 2027,,217,3009,0,278,"9,24%",0,
mercredi 13 janvier 2027,32,218,3009,0,278,"9,24%",,
jeudi 14 janvier 2027,,219,3009,0,278,"9,24%",,
vendredi 15 janvier 2027,,220,3009,0,278,"9,24%",,
