DateCommande,NumCommande,Client,Catégorie,Quantité,Statut,FactureID,PDF_URL
01/05/2026,001-05-2026,Linah,42-46gr,48,Livré,F-20260504-110815,https://drive.google.com/file/d/1ZALPHbdPEf77_UCPc6iD-rvKHOOv_Ccn/view?usp=drivesdk
01/05/2026,002-05-2026,Mangarano,47-56gr,1000,Livré,F-20260506-050538,https://drive.google.com/file/d/1V3ZSrAy0h-K98_ogdFs49YV0KzzPEIfF/view?usp=drivesdk
01/05/2026,003-05-2026,Fasankarana,47-56gr,55,Livré,F-20260506-050759,https://drive.google.com/file/d/1uEsSZv-Wzp_nG8jJyvjEF3yNvvVH1K60/view?usp=drivesdk
01/05/2026,004-05-2026,Mr Mamy,57-60gr,1200,Livré,F-20260506-050939,https://drive.google.com/file/d/1-YK2BTb9M24yXL7KReCJRefIZjE5GZMM/view?usp=drivesdk
01/05/2026,006-05-2026,Valpinson,57-60gr,305,Livré,F-20260506-072351,https://drive.google.com/file/d/1go3eG4CQU_pG5H7HwcwTm30PPaAkNvdW/view?usp=drivesdk
01/05/2026,009-05-2026,CFC,61-63gr,1068,Livré,F-20260506-073336,https://drive.google.com/file/d/1zFQHzgxQy5EDc0YBbd58IBKMAQWc1jV5/view?usp=drivesdk
01/05/2026,010-05-2026,La Paillote,64-66gr,200,Livré,F-20260506-073500,https://drive.google.com/file/d/17h6a4oHm01z4ZCoeOVqjSrNt8Qb8WW1N/view?usp=drivesdk
01/05/2026,012-05-2026,Nambinina,64-66gr,393,Livré,F-20260506-073925,https://drive.google.com/file/d/1UUkmkyCEOotbUZ3mHFJ4scDACRQZKIvi/view?usp=drivesdk
01/05/2026,014-05-2026,Pompier,70-74gr,138,Livré,F-20260506-074049,https://drive.google.com/file/d/1Qp-ZvlZslOoPhHdBYiLZjORiOjCNmAe6/view?usp=drivesdk
01/05/2026,016-05-2026,Pompier,75gr +,21,Livré,F-20260506-074151,https://drive.google.com/file/d/1sBgP7rA0GT-n9yvXWJkK9oGqu395DgJn/view?usp=drivesdk
01/05/2026,019-05-2026,Chinoise,Casser,76,Livré,F-20260506-074308,https://drive.google.com/file/d/1DVyREE0rDXLbaksi9d1iaGPGnMsSant_/view?usp=drivesdk
02/05/2026,020-05-2026,Shaki,42-46gr,57,Livré,F-20260506-074819,https://drive.google.com/file/d/1Ntn5Uxpngp2yOlfruR8pitq0akHq8F0j/view?usp=drivesdk
02/05/2026,021-05-2026,Jirama,47-56gr,1013,Livré,F-20260506-075606,https://drive.google.com/file/d/1Zkigg1qxkstSHEiuH3nmiBW6L4OgT7vn/view?usp=drivesdk
02/05/2026,022-05-2026,Fenerive-Est,57-60gr,1447,Livré,F-20260506-075812,https://drive.google.com/file/d/1vZdQb8VSH9N-SRr1oBgv4plLWaUhuOtQ/view?usp=drivesdk
02/05/2026,024-05-2026,B5,61-63gr,1105,Livré,F-20260506-083746,https://drive.google.com/file/d/1TDB4_chWMhhJVvVcwX3oTeBAWbQpRELz/view?usp=drivesdk
02/05/2026,025-05-2026,Salazamay,64-66gr,677,Livré,F-20260506-085607,https://drive.google.com/file/d/1AJoop771fjvYlQV6TySMOLY_dIBdNRgL/view?usp=drivesdk
02/05/2026,027-05-2026,Major Shop,70-74gr,151,Livré,F-20260506-085740,https://drive.google.com/file/d/1utjRrikqFEbSfoR3kcydcSaWIJX1O4RH/view?usp=drivesdk
02/05/2026,028-05-2026,Major Shop,75gr +,21,Livré,F-20260506-085851,https://drive.google.com/file/d/1KuOUIkPAWIL2Zm3nzMgZoo8Hnx2otQwc/view?usp=drivesdk
02/05/2026,030-05-2026,Lasopy,Casser,44,Livré,F-20260506-090120,https://drive.google.com/file/d/1IY1JhcGRboanU_wqygLpo8sF1xU1H14n/view?usp=drivesdk
04/05/2026,034-05-2026,Zoky Jo,42-46gr,115,Livré,F-20260506-113821,https://drive.google.com/file/d/1hNF3JHCHxfTZCVUUWVtD3fI51VvmUCek/view?usp=drivesdk
04/05/2026,036-05-2026,Mangarano,47-56gr,1200,Livré,F-20260506-113927,https://drive.google.com/file/d/106kpwar0ZHHPtjtt5BRV2KpFsVUwYl6K/view?usp=drivesdk
04/05/2026,038-05-2026,Mangarano,57-60gr,1200,Livré,F-20260506-114011,https://drive.google.com/file/d/1LsLL1gHkw9LY5JJoUgXf-6pK9I40KEEX/view?usp=drivesdk
04/05/2026,039-05-2026,Bazary kely,57-60gr,1300,Livré,F-20260506-114845,https://drive.google.com/file/d/1ewKno1dwN3DH8qQeblpPph5cfVt0V4VN/view?usp=drivesdk
04/05/2026,040-05-2026,Tanambao V,61-63gr,1500,Livré,F-20260506-115010,https://drive.google.com/file/d/1hagOggXC6ciMFX7jbYwxCLsxPuJiFiwt/view?usp=drivesdk
04/05/2026,041-05-2026,Nambinina,64-66gr,800,Livré,F-20260506-115113,https://drive.google.com/file/d/1jACBCpCQHthnbYFe4zLCnoV4bFrURvTz/view?usp=drivesdk
04/05/2026,042-05-2026,Angéline,47-56gr,500,Livré,F-20260506-115619,https://drive.google.com/file/d/1dhI6nEBudVT2UCMvwlcOt-GWLUX5dKye/view?usp=drivesdk
04/05/2026,043-05-2026,Plaque relax,47-56gr,312,Livré,F-20260506-115736,https://drive.google.com/file/d/1hHS1vNAw0EaapAUEzMTGMxRS3_iVuhVG/view?usp=drivesdk
